pdb_name,processed_path,raw_path,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,splits
1kbv.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1kbv.A.pkl,pdb_chains/kb/1kbv.A.pdb,1,homomer,683,302,0.44370860927152317,0.08940397350993377,0.46688741721854304,1.9585818557194332,train
3kb9.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/3kb9.A.pkl,pdb_chains/kb/3kb9.A.pdb,1,homomer,781,340,0.2529411764705882,0.7470588235294118,0.0,1.9723898350516718,train
2kbb.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/2kbb.A.pkl,pdb_chains/kb/2kbb.A.pdb,1,homomer,174,174,0.20689655172413793,0.7931034482758621,0.0,1.6486023317147391,train
1kbp.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1kbp.A.pkl,pdb_chains/kb/1kbp.A.pdb,1,homomer,449,424,0.535377358490566,0.16273584905660377,0.3018867924528302,2.1331139338843834,train
4uhc.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/4uhc.A.pkl,pdb_chains/uh/4uhc.A.pdb,1,homomer,716,278,0.3237410071942446,0.49640287769784175,0.17985611510791366,1.817325465489206,train
3uhf.B,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/3uhf.B.pkl,pdb_chains/uh/3uhf.B.pdb,1,homomer,414,249,0.3493975903614458,0.4859437751004016,0.1686746987951807,1.766639286900497,train
3uh0.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/3uh0.A.pkl,pdb_chains/uh/3uh0.A.pdb,1,homomer,741,420,0.3880952380952381,0.38333333333333336,0.23095238095238096,2.4917209669657825,train
1uhv.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1uhv.A.pkl,pdb_chains/uh/1uhv.A.pdb,1,homomer,748,500,0.432,0.314,0.254,2.4877401857849546,train
1uht.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1uht.A.pkl,pdb_chains/uh/1uht.A.pdb,1,homomer,118,118,0.6440677966101694,0.0,0.3559322033898305,1.3980362773251394,train
1uhr.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1uhr.A.pkl,pdb_chains/uh/1uhr.A.pdb,1,homomer,93,93,0.5053763440860215,0.34408602150537637,0.15053763440860216,1.4255227071939414,train
1uhw.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1uhw.A.pkl,pdb_chains/uh/1uhw.A.pdb,1,homomer,109,109,0.5045871559633027,0.3761467889908257,0.11926605504587157,1.3311217707148664,train
1uhp.A,/wynton/group/kortemme/alexjli/data/framediff_ingraham/pdb_pkls/1uhp.A.pkl,pdb_chains/uh/1uhp.A.pdb,1,homomer,107,107,0.5700934579439252,0.14953271028037382,0.2803738317757009,1.4390771777564737,train
